ID,Type,Criticality,Source,AssetValue,CVE,CVSS,History,HistoryNote,MITRE_Code,MITRE_Name,Timestamp,Recommendations
1,Malware,High,DomainController-01,10,CVE-2024-38112,8.8,False,No prior incidents,T1059,Command and Scripting Interpreter,2024-11-02 17:47:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
2,Malware,Low,LaptopUser-09,2,None,0.0,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-01 13:05:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
3,Malware,Medium,LaptopUser-09,2,None,0.0,False,No prior incidents,T1059,Command and Scripting Interpreter,2024-11-03 08:45:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
4,Malware,High,LaptopUser-09,2,None,0.0,False,No prior incidents,T1059,Command and Scripting Interpreter,2024-11-07 12:17:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
5,Malware,Critical,DomainController-01,10,CVE-2024-30051,7.8,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-04 21:17:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
6,Malware,Medium,AppServer-06,6,CVE-2024-21412,9.8,False,No prior incidents,T1059,Command and Scripting Interpreter,2024-11-02 06:22:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
7,Malware,Critical,LaptopUser-10,2,CVE-2024-38112,8.8,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-06 03:34:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
8,Malware,Low,Workstation-07,4,None,0.0,False,No prior incidents,T1059,Command and Scripting Interpreter,2024-11-07 22:39:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
9,Malware,Critical,AppServer-06,6,None,0.0,False,No prior incidents,T1059,Command and Scripting Interpreter,2024-11-01 23:02:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
10,Malware,High,MailServer-05,7,CVE-2024-21412,9.8,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-02 07:24:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
11,Malware,Medium,AppServer-06,6,CVE-2024-30051,7.8,False,No prior incidents,T1059,Command and Scripting Interpreter,2024-11-03 11:42:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
12,Malware,Medium,DatabaseServer-04,9,None,0.0,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-06 22:46:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
