timestamp,participant_id,background,experience_years,Q1_context_clarity,Q2_recommendation_usefulness,Q3_ease_of_use,Q4_time_savings,open_feedback
2026-03-21T14:51:08.187674,P017,Software Developer,< 1 year,4,3,3,3,"i will analyze it more later,"
2026-03-21T14:52:59.874390,p13,SOC Analyst / Security Analyst,< 1 year,4,4,4,4,
2026-03-21T16:08:37.261120,joujoujinx,SOC Analyst / Security Analyst,1–3 years,4,4,4,4,
2026-03-21T23:34:25.429829,P13,SOC Analyst / Security Analyst,< 1 year,5,5,5,5,
2026-03-21T23:43:36.967743,P099,SOC Analyst / Security Analyst,< 1 year,5,5,4,4,
2026-03-22T07:10:24.059332,P01,SOC Analyst / Security Analyst,< 1 year,1,1,1,1,
2026-03-22T07:12:31.830112,P77,SOC Analyst / Security Analyst,< 1 year,1,1,1,1,
2026-03-22T07:25:23.089039,P98,SOC Analyst / Security Analyst,< 1 year,5,5,5,5,"très bon, j'espère un bon future pour ce project, c'est vraiment extraordinaire
je suis un soc analyst et je suis choqué sur le potentiel de ce project. il est vraiment précis et assistant."
2026-03-23T15:57:50.233550,MR.T,Cybersecurity Researcher / Student,< 1 year,4,4,4,5,
2026-03-23T15:59:00.357768,P99,SOC Analyst / Security Analyst,1–3 years,5,4,5,5,
2026-03-23T16:00:52.237900,p3,Cybersecurity Researcher / Student,1–3 years,3,3,4,4,
2026-03-23T16:01:43.506545,IT7,IT / System Administrator,3–5 years,4,4,5,4,
2026-03-23T20:39:40.334150,P10,Cybersecurity Researcher / Student,1–3 years,5,3,5,5,
