ID,Type,Criticality,Source,AssetValue,CVE,CVSS,History,HistoryNote,MITRE_Code,MITRE_Name,Timestamp,Recommendations
1,BruteForce,Critical,MailServer-05,7,CVE-2024-38077,9.8,False,Isolated failed login,T1110,Brute Force,2024-11-05 14:43:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
2,BruteForce,Low,LaptopUser-10,2,None,0.0,False,Isolated failed login,T1110,Brute Force,2024-11-05 05:13:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
3,BruteForce,Low,LaptopUser-09,2,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-24 12:26:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
4,BruteForce,Medium,WebServer-03,7,None,0.0,False,Isolated failed login,T1110,Brute Force,2024-11-19 06:21:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
5,BruteForce,Low,AppServer-06,6,None,0.0,False,Isolated failed login,T1110,Brute Force,2024-11-16 13:54:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
6,BruteForce,Medium,WebServer-03,7,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-17 09:05:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
7,BruteForce,Low,LaptopUser-10,2,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-04 05:02:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
8,BruteForce,Critical,DatabaseServer-04,9,CVE-2024-38077,9.8,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-17 11:17:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
9,BruteForce,Low,DomainController-01,10,None,0.0,False,Isolated failed login,T1110,Brute Force,2024-11-29 20:17:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
10,BruteForce,Low,DatabaseServer-04,9,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-24 00:46:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
11,BruteForce,Medium,MailServer-05,7,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-25 00:14:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
